Titre,Labels,Content
Stockage du sac et objets de valeur,"sac d'évacuation, stockage, bijoux, photos de famille",Le sac doit être stocké dans un emplacement facile d’accès et éloigné des sources immédiates de chaleur ou de risque électrique. Ajouter une sauvegarde des photos de famille sur support numérique robuste. Regrouper les bijoux dans une petite boîte transportable afin de pouvoir les emporter rapidement si nécessaire.
Se protéger des incendies à domicile,"incendie, détecteur de fumée, extincteur, couverture anti-feu, évacuation","Équiper le domicile de couvertures anti-feu, de plusieurs extincteurs et de détecteurs de fumée : un près de la cuisine, un dans le couloir principal et un devant chaque chambre si elles sont éloignées. Prévoir également une échelle de secours pour les étages lorsque les issues classiques peuvent devenir impraticables."
Protection respiratoire contre les fumées,"incendie, fumées, masque, protection respiratoire","Prévoir des masques de protection contre les fumées pour limiter les atteintes pulmonaires lors d’un incendie. Ils complètent les extincteurs, couvertures anti-feu et détecteurs dans une stratégie de protection du domicile."
Pourquoi constituer un stock alimentaire,"stock alimentaire, rupture d'approvisionnement, eau, électricité, supermarché","Sans électricité et sans eau courante, il devient difficile de cuisiner, conserver les aliments, s’hydrater, se laver et entretenir le logement. En cas de crise, les supermarchés sont vite dévalisés, avec des réserves limitées et des chaînes logistiques fragiles. Il faut donc constituer ses stocks avant la crise, surtout pour l’eau et la nourriture."
Base de stock alimentaire pour 2 adultes,"stock alimentaire, conserves, rationnement, survie de 3 à 6 mois","Base recommandée pour deux adultes sur 3 à 6 mois selon le rationnement : 50 conserves de légumes variés, 20 plats à base de viande, 50 conserves de poisson, 12 pâtés, 50 conserves de fruits, 50 plats lyophilisés, 10 kg de riz, 10 kg de pâtes, 35 bonbonnes d’eau de 8 L ou 30 packs de 6 bouteilles de 1,5 L et/ou 3 fûts de 120 L, ainsi que sucre, huile d’olive, gros sel marin, miel, biscottes, bouillons, café et thé."
Règles de constitution du stock alimentaire,"stock alimentaire, formats, ouverture de conserve, vaisselle jetable","Privilégier les formats de conserve adaptés à la taille du foyer pour limiter le gaspillage après ouverture. Les achats peuvent être fractionnés dans le temps, mais ils doivent être considérés comme une réserve de crise et non comme du stock courant. Prévoir aussi un ouvre-boîte fiable et de la vaisselle jetable en grande quantité."
Filtration et stockage de l’eau : priorité absolue,"eau potable, filtration, stockage d'eau, jerrycan, purification","Disposer d’un système de filtration et de purification de l’eau est prioritaire. Prévoir au minimum un filtre à eau domestique permettant de traiter l’eau du réseau ou des sources incertaines, ainsi que des contenants souples pour augmenter rapidement le stock en cas de besoin."
Stockage longue durée de l’eau,"eau potable, fûts alimentaires, javel, stabilisation, stockage longue durée","Pour stocker une grande quantité d’eau, utiliser des fûts alimentaires de 60, 120 ou 220 litres. Les isoler du sol avec une planche, nettoyer les fûts avant usage, ajouter un stabilisant ou une dose de javel, et protéger de la lumière avec une bâche noire. Dans ces conditions, l’eau peut être conservée environ un an."
Matériel recommandé pour l’eau,"eau, filtre, gourde filtrante, jerrycan, kit de test","Le guide recommande un ensemble comprenant : filtre à eau principal, filtre portable, gourde filtrante, jerrycans souples, fûts alimentaires, pompe siphon, javel pure dosée à 4 gouttes par litre, comprimés de purification dosés à 1 comprimé par litre, bâche noire et kit de test bactériologique. Filtrer l’eau stockée avant consommation réduit les doutes sur sa potabilité."
"Cuisiner, se chauffer et s’éclairer sans électricité","cuisine d'urgence, chauffage d'appoint, éclairage d'urgence, gaz, bougies","Prévoir un réchaud de camping avec cartouches de gaz pour continuer à cuire les aliments et faire bouillir l’eau. Compléter avec thermos, bougies longue durée, briquets, lampes torches, lanterne rechargeable, lanterne solaire ou frontale, couvertures de laine et sacs de couchage, idéalement un par personne. Ces équipements permettent de maintenir chaleur, lumière et confort minimal sans réseau."
Produire et stocker une électricité d’appoint,"électricité d'appoint, panneau solaire, powerbank, piles rechargeables","L’objectif n’est pas d’alimenter des appareils très énergivores mais de recharger téléphones, radios, lampes et lanternes. Prévoir un panneau solaire portatif, une ou plusieurs batteries externes de capacité adaptée, un chargeur de piles AA/AAA raccordable au solaire, un chargeur secteur rapide pour les périodes normales, ainsi qu’un stock de piles rechargeables AA et AAA."
Gestion des piles et recharges,"électricité d'appoint, piles rechargeables, chargeur intelligent, autonomie électrique","Prévoir des chargeurs adaptés aux piles rechargeables et organiser une redondance entre charge solaire, batteries externes et charge sur secteur quand il est disponible. Cela permet de conserver l’éclairage, l’information et une partie des communications en cas de panne prolongée."
Radiocommunications de secours,"radiocommunication, talkie-walkie, communications alternatives, urgence","Les moyens de communication alternatifs restent utiles lorsque les réseaux téléphoniques ou internet tombent. Pour un usage simple à courte portée, des talkies-walkies peuvent suffire. Pour maintenir le contact à plus grande distance et recevoir certaines communications, il est utile d’équiper les membres du foyer d’émetteurs-récepteurs portatifs et de prévoir leur configuration à l’avance."
Confinement et hygiène en situation dégradée,"confinement, hygiène, déchets organiques, santé, salubrité","En cas de confinement prolongé, il faut pouvoir maintenir l’hygiène, traiter les déchets et faire face aux problèmes de santé courants. Les stocks d’eau, de nourriture, d’hygiène et de premiers secours deviennent alors centraux pour éviter la dégradation rapide des conditions sanitaires."
"Sacs poubelles, papier toilette et hygiène féminine","hygiène, sacs poubelles, papier toilette, serviettes périodiques, confinement","Constituer un stock massif de sacs poubelles et de papier toilette. Les sacs poubelles servent à gérer les déchets, improviser des solutions sanitaires, transporter de l’eau ou protéger des objets. Prévoir aussi des stocks suffisants de protections périodiques pour l’hygiène féminine sur la durée."
"Savon, gel hydroalcoolique, gants et désinfection","hygiène, savon, gel hydroalcoolique, gants nitrile, désinfection","Le savon brut est économique, facile à stocker, utilisable comme lessive et se conserve longtemps. Le gel hydroalcoolique permet de se désinfecter sans eau. Les gants en nitrile limitent les risques de contamination pendant les soins ou la gestion des déchets. La javel sert à désinfecter les surfaces contaminées comme les toilettes ou les poignées."
Produits polyvalents pour l’entretien en crise,"hygiène, vinaigre blanc, bicarbonate de soude, lessive, entretien","Le vinaigre blanc et le bicarbonate de soude permettent de fabriquer ou remplacer plusieurs produits utiles : lessive, désodorisants, entretien du logement et certains usages d’hygiène. Ce sont des bases polyvalentes pour maintenir la salubrité quand les produits habituels viennent à manquer."
Stock minimum d’hygiène et de santé à domicile,"confinement, santé, hygiène, masques FFP2, premiers secours","Le guide recommande de prévoir au domicile : deux toilettes d’appoint, au moins 2000 sacs poubelles, environ 10 packs de 48 rouleaux de papier toilette pour un an pour une famille de quatre, protections périodiques, environ 5 kg de savon et au moins 5 L de gel hydroalcoolique, au moins 10 L de javel, plusieurs boîtes de gants nitrile, environ 200 masques FFP2, une grande trousse de secours, au moins 5 L de vinaigre blanc, environ 12 kg de bicarbonate de soude, ainsi que bâches transparentes et ruban adhésif renforcé."
Sécurisation non armée du domicile,"sécurisation du domicile, accès, volets, alarme, détection de mouvement","Renforcer les accès principaux, poser des volets robustes, mettre sous alarme et sous verrou les points d’effraction possibles, ne pas oublier cave, grenier et autres accès secondaires, et installer des lampes à détection de mouvement autour du terrain. Éviter de laisser entrer des inconnus sans raison valable afin de limiter les repérages."
Phase 8 : amélioration continue de la préparation,"amélioration continue, formation, entretien santé, autonomie, préparation","Une fois les bases posées, poursuivre l’amélioration par étapes : préparer des plans d’évacuation, consulter régulièrement les professionnels de santé, se former aux gestes de premiers secours, apprendre à fabriquer et réparer, optimiser l’éclairage autonome, faire ses propres conserves, approfondir les communications radio, augmenter les capacités de stockage d’eau et se cultiver sur l’autonomie en milieu urbain."
Effets possibles d’une crise majeure sur le quotidien,"crise majeure, effets, quotidien, panne, approvisionnement, secours","Une crise majeure peut provoquer une panne prolongée de chauffage et d’électricité, des perturbations voire l’indisponibilité de services publics, des perturbations très graves de la circulation, des difficultés d’approvisionnement dans les grandes surfaces et stations-service, des difficultés à téléphoner ou obtenir des secours, une panne des réseaux téléphoniques et internet, l’arrêt des transports publics, des dysfonctionnements des moyens de paiement et des difficultés pour conserver les aliments et se nourrir. En cas de crise majeure, les secours priorisent les besoins les plus graves ; chaque citoyen doit donc pouvoir se protéger et protéger ses proches pendant plusieurs jours."
Priorités des 72 premières heures,"72h, priorités, préparation, eau, nourriture, chaleur, soins","Lorsqu’une crise survient, les premières 72 heures sont souvent les plus éprouvantes. Les trois priorités sont : boire et manger, avoir chaud, se soigner. Il faut placer le kit d’urgence dans un endroit facile d’accès et vérifier son contenu deux fois par an, notamment les dates de péremption des médicaments et denrées, ainsi que l’état des piles."
Composition générale du kit d’urgence,"kit d'urgence, checklist, équipement, autonomie, foyer","Le kit d’urgence doit contenir : radio à piles avec piles de rechange pour suivre les consignes des autorités, outils de base comme couteau multifonctions et ouvre-boîte, médicaments, lampe de poche avec piles de rechange, bougies, briquet ou allumettes, trousse de premiers secours, eau potable en quantité, nourriture non périssable sans cuisson, lunettes de vue de secours, vêtements chauds et couverture de survie, double des clés de la maison et de la voiture, photocopies des documents essentiels dans une pochette étanche, argent liquide et de quoi occuper le temps comme livres et jeux, ainsi qu’un chargeur de téléphone portable."
Eau et nourriture pour 72 heures,"eau, nourriture, stock, 72h, autonomie alimentaire","Pour 72 heures, il faut privilégier de la nourriture non périssable qui ne nécessite pas de cuisson : conserves, petits pots, lait infantile 1er âge prêt à l’emploi, café, thé et nourriture pour animaux si besoin. Il faut prévoir 6 litres d’eau par personne en bouteille. En dernier recours, il est recommandé de prévoir des pastilles de décontamination de l’eau."
Médicaments et premiers secours à prévoir,"médicaments, premiers secours, santé, trousse, lunettes","Le kit doit inclure les médicaments du quotidien, y compris le traitement habituel et les médicaments de secours, une paire de lunettes de vue de secours, de l’alcool ou du gel hydroalcoolique, des masques, des pansements et des compresses."
"Matériel de base, chaleur, lumière et documents","matériel, lampe, radio, chaleur, documents, clés","Le matériel de base recommandé comprend : couteau multifonctions, ouvre-boîte, réchaud, radio à piles, batterie externe, piles de rechange, chargeur de téléphone et savon. Pour rester au chaud et s’éclairer : lampe de poche, bougies, allumettes, briquet, vêtements chauds et couverture de survie. Il faut aussi conserver le double des clés de maison et de voiture, les photocopies des papiers d’identité, les ordonnances et de l’argent liquide."
Organisation familiale et entraide de proximité,"proches, entraide, solidarité, communication, voisins","Il faut identifier les proches qui pourraient avoir besoin d’aide et définir un moyen de rester en contact, en privilégiant les messages pour ne pas saturer les réseaux. Il faut anticiper les besoins spécifiques de certains proches et identifier qui pourrait se rendre auprès d’eux si nécessaire. En situation de crise, la solidarité et l’entraide sont essentielles : il faut échanger avec sa famille, ses voisins ou collègues, construire un réseau d’assistance et repérer les personnes isolées dans l’immeuble ou le quartier."
Formation aux premiers secours,"premiers secours, formation, gestes qui sauvent, secours, associations","En cas de crise majeure, les secours peuvent être débordés ou difficiles à joindre immédiatement. Le meilleur moyen de protéger ses proches est de se former aux gestes qui sauvent : massage cardiaque, utilisation d’un défibrillateur automatique, pose d’un garrot tourniquet. Il est conseillé de contacter sa commune ou des associations agréées comme la Croix-Rouge française, la SNSM et la Protection Civile."
Consignes en cas d’inondation,"inondation, crue, abri, électricité, gaz, évacuation","En cas d’inondation, il ne faut pas prendre sa voiture, car quelques centimètres d’eau suffisent à l’emporter. Il ne faut pas descendre dans les sous-sols ni les parkings souterrains. Si possible sans se mettre en danger, il faut couper les réseaux de gaz, d’électricité et de chauffage. Il faut s’éloigner des cours d’eau, des berges et des ponts, rester à l’abri et n’évacuer son domicile que sur ordre des autorités. Il faut se renseigner sur les sites Météo-France et Vigicrues."
Consignes en cas de feux de forêt,"feu de forêt, fumée, abri, confinement, secours","En cas de feu de forêt, en attendant les secours, il faut rester ou se mettre à l’abri, ne pas prendre sa voiture, boucher les aérations et les bas de porte pour empêcher l’entrée des fumées toxiques et des flammèches, et couvrir son nez et sa bouche d’un linge humide pour se protéger de la fumée."
Consignes en cas de mouvements de terrain,"mouvement de terrain, pente, éloignement, risque naturel","En cas de mouvements de terrain, il faut s’éloigner des zones à forte pente."
Consignes en cas de séisme,"séisme, secousses, abri, évacuation, tsunami","Pendant les secousses, il faut s’abriter près d’un mur, d’une structure porteuse ou sous des meubles solides et s’éloigner des fenêtres. Si l’on est en rez-de-chaussée ou près d’une sortie, il faut s’éloigner du bâtiment et ne pas rester près des lignes électriques. En voiture, il ne faut pas sortir et il faut s’arrêter à distance des bâtiments. Après les secousses, il faut sortir du bâtiment, s’éloigner de ce qui pourrait s’effondrer et s’éloigner des côtes, car un séisme peut provoquer un tsunami."
Consignes en cas de tempête ou d’orage,"tempête, orage, bâtiment solide, fenêtres, arbre isolé","En cas de tempête ou d’orage, il faut s’abriter dans un bâtiment solide, ne pas stationner sous un arbre isolé, fermer les portes, fenêtres et volets, et s’éloigner des baies vitrées."
Consignes en cas d’éruption volcanique outre-mer,"volcan, cendres, gaz, confinement, évacuation","En cas de nuage de cendres ou d’émissions de gaz liées à une éruption volcanique en outre-mer, il faut se confiner, couvrir son nez et sa bouche d’un linge humide, suivre les informations émises par les autorités et se préparer à une évacuation si elle est ordonnée."
Consignes en cas de tsunami,"tsunami, alerte, point haut, côte, réseaux","En cas de tsunami, il faut suivre les informations et consignes des autorités, ne pas prendre sa voiture, couper si possible les réseaux de son habitation, rejoindre immédiatement un point haut ou s’éloigner des côtes dès le déclenchement de l’alerte, et ne pas quitter les sites refuge avant l’autorisation des autorités."
Consignes en cas d’accident nucléaire,"accident nucléaire, confinement, ventilation, iode, bâtiment","En cas d’accident nucléaire, il faut se mettre à l’abri dans un bâtiment, fermer et calfeutrer les portes et fenêtres, couper la ventilation. Si l’on est dans un véhicule, il faut rejoindre un bâtiment. Il ne faut pas toucher aux objets situés à l’extérieur, comme les véhicules. Un comprimé d’iode ne doit être pris que sur instruction du préfet."
Consignes en cas d’accident industriel,"accident industriel, confinement, fenêtres, ventilation, fumée, étincelle","En cas d’accident industriel, il faut se mettre à l’abri dans un bâtiment, fermer les portes et fenêtres, calfeutrer les ouvertures et les aérations et couper la ventilation. Il faut s’éloigner des fenêtres. En cas de gêne respiratoire, il faut respirer à travers un linge humide. Il ne faut pas fumer ni provoquer de flamme ou d’étincelle. Si l’on est dans un véhicule, il faut rejoindre un bâtiment."
Gestes sanitaires en cas de COVID-19 ou grippe,"covid-19, grippe, hygiène, masque, aération, mains","En cas de COVID-19 ou de grippe, il faut se laver les mains plusieurs fois par jour avec du savon ou du gel hydroalcoolique, utiliser des mouchoirs en papier à usage unique, couvrir son nez et sa bouche quand on éternue, aérer régulièrement les pièces où l’on vit et porter un masque."
Gestes sanitaires en cas de grippe aviaire,"grippe aviaire, animaux, hygiène des mains","En cas de grippe aviaire, il faut systématiquement se laver les mains après contact avec les animaux."
Désinformation : vérifier avant de relayer,"désinformation, source, vérification, pharos, information officielle","Avant de rediffuser une information, il faut vérifier sa source, prêter attention à l’auteur et à la date. Les contenus illicites peuvent être signalés sur la plateforme Pharos à l’adresse www.internet-signalement.gouv.fr. En cas de difficulté d’accès à Internet, on peut aussi se rendre au commissariat, à la gendarmerie ou en mairie."
Réagir en cas d’attaque terroriste,"attaque terroriste, fuite, cacher, alerter, résister","En cas d’attaque terroriste, il faut, selon les circonstances, 1) s’échapper et aider les autres à s’échapper, 2) se cacher en s’enfermant et en se barricadant, avec les téléphones en mode silencieux, 3) alerter les secours, 4) lorsque cela est possible, résister en tentant de neutraliser le terroriste à plusieurs ou de le distraire, tout en se protégeant avec un bouclier de fortune comme un sac ou un vêtement enroulé autour de l’avant-bras."
Résister aux rumeurs et à la manipulation de l’information,"rumeurs, désinformation, crise, source officielle, médias","En situation de crise, il faut résister aux rumeurs et à la désinformation. Pour démasquer une manipulation, il faut se demander : qui a envoyé cette information, la source est-elle officielle, l’information est-elle publiée dans un grand média national, quel est le but de cette information. En situation de crise majeure, les autorités diffusent régulièrement des messages sur les canaux officiels du Gouvernement, de la préfecture ou de la mairie ; il faut aussi consulter les chaînes de radio et de télévision."
Reconnaître les signaux d’alerte,"alerte, sirène, signal sonore, corne de brume, fr-alert","En France, plus de 5 000 sirènes sont testées tous les premiers mercredis du mois. En cas d’alerte, elles émettent trois séquences d’1 minute et 41 secondes séparées par 5 secondes de silence. La fin de l’alerte est annoncée par un signal continu de 30 secondes. Il existe aussi un signal spécifique aux ouvrages hydrauliques de type corne de brume : un cycle de 2 minutes avec alternance de 2 secondes d’émission et 3 secondes de pause."
Dispositif FR-Alert,"fr-alert, sms, téléphone, danger imminent, consignes","Si vous êtes dans une zone concernée par un danger imminent, vous pouvez recevoir automatiquement sur votre téléphone une notification FR-Alert accompagnée d’un signal sonore. Cette notification vous informe sur l’événement en cours et sur les consignes à respecter."
Consignes générales en cas d’alerte,"alerte, abri, téléphone, fenêtres, école, consignes officielles","En cas d’alerte, de manière générale, il ne faut pas rester dans un véhicule, il ne faut pas allumer de flamme, il ne faut pas rester près des fenêtres ni les ouvrir. Il ne faut pas sortir dehors ni quitter son abri sans consigne des autorités ; si l’on est à l’extérieur, il faut rejoindre un bâtiment. Il faut éviter de téléphoner pour laisser les réseaux disponibles pour les secours. Il ne faut pas aller chercher ses enfants à l’école : ils sont pris en charge par les équipes pédagogiques ou les secours. Il faut se tenir informé et respecter les consignes diffusées sur les canaux officiels, notamment à la radio et à la télévision."
Numéros d’urgence à connaître,"urgences, 112, 15, 17, 18, 114, 196","Le 112 est le numéro d’appel d’urgence européen unique regroupant le SAMU (15), les pompiers (18) et la police secours (17), disponible gratuitement partout dans l’Union européenne. Le 15 correspond aux urgences médicales, le 18 aux situations de péril ou d’accident, le 17 au signalement d’une infraction. Le 114 est le numéro d’urgence accessible par SMS, internet et application pour les personnes sourdes ou malentendantes, ou si l’on doit alerter les secours en restant silencieux. Le 196 est le numéro d’urgence en mer."
Notes pratiques à préparer à l’avance,"numéros utiles, emplacement du kit, informations importantes, partage","Il est recommandé de noter à l’avance tous les numéros de téléphone utiles, le lieu où se trouve le kit d’urgence, la date à laquelle il a été constitué, ainsi que toutes les informations importantes qui peuvent être utiles en situation d’urgence. Il ne faut pas oublier de partager l’information avec ses proches."
Défibrillateur automatique : utilisation,"défibrillateur, DEA, électrodes, choc, réanimation","Mettre le défibrillateur en marche et suivre impérativement les indications de l’appareil. Déballer les électrodes et les appliquer suivant le schéma indiqué, puis les connecter si nécessaire. Quand l’appareil le demande, ne plus toucher l’enfant. Si un choc est nécessaire, s’assurer que personne ne touche l’enfant puis appuyer sur « choc » ou laisser le déclenchement automatique se faire. Reprendre immédiatement les compressions thoraciques selon les instructions de l’appareil, qu’il y ait eu choc ou non. Ne jamais arrêter le défibrillateur ni retirer les électrodes."
Anaphylaxie : signes modérés à surveiller,"allergie, anaphylaxie, signes modérés, surveillance, PAI","Réaction modérée si l’enfant parle et respire bien avec un seul signe parmi : démangeaison importante des mains, pieds ou cuir chevelu, plaques rouges, picotement de la bouche, gonflement des lèvres, nez qui coule, yeux qui pleurent, ou mal au ventre / nausées. Si l’enfant a un PAI, appliquer le protocole adapté. Surveiller jusqu’à disparition des signes et prévenir les parents."
Anaphylaxie sévère : reconnaître et agir,"anaphylaxie sévère, allergie grave, adrénaline, salbutamol, SAMU","Réaction grave si l’enfant présente deux signes parmi les signes cutanéo-muqueux et digestifs, ou au moins un des signes suivants : voix rauque ou difficulté à parler, difficultés respiratoires, sifflements, toux, asthme, douleurs abdominales, vomissements, malaise. Allonger l’enfant et surélever les jambes, ou le mettre assis en cas de gêne respiratoire (de préférence par terre). Si l’enfant a un PAI, appliquer le protocole. Alerter le SAMU 15 et suivre les consignes. Sur demande du médecin, injecter de l’adrénaline dans la face antéro-externe de la cuisse et éventuellement administrer du salbutamol en inhalation. Une deuxième injection peut être nécessaire."
Injection d’adrénaline : ANAPEN,"adrénaline, ANAPEN, auto-injecteur, anaphylaxie","ANAPEN : enlever le capuchon noir protecteur de l’aiguille, retirer le bouchon protecteur, appuyer fermement le stylo sur la face extérieure de la cuisse, appuyer sur le bouton rouge et maintenir 10 secondes, puis masser la zone d’injection."
Injection d’adrénaline : EMERADE,"adrénaline, EMERADE, auto-injecteur, anaphylaxie","EMERADE : enlever le bouchon blanc, placer le stylo sur la face extérieure de la cuisse à angle droit, appuyer fermement et maintenir 5 secondes, puis masser la zone d’injection."
Injection d’adrénaline : EPIPEN,"adrénaline, EPIPEN, auto-injecteur, anaphylaxie","EPIPEN : enlever le capuchon bleu, placer l’extrémité orange du stylo sur la face extérieure de la cuisse à angle droit, enfoncer fermement jusqu’à entendre un déclic et maintenir 10 secondes, puis masser la zone d’injection."
Injection d’adrénaline : JEXT,"adrénaline, JEXT, auto-injecteur, anaphylaxie","JEXT : enlever le bouchon jaune, placer l’extrémité noire du stylo sur la face extérieure de la cuisse à angle droit, appuyer fermement jusqu’à entendre un déclic et maintenir 10 secondes, puis masser la zone d’injection."
Adrénaline auto-injecteur : dosage indicatif,"adrénaline, dosage, poids, EPIPEN, JEXT, ANAPEN, EMERADE","Dosage indicatif des stylos auto-injecteurs : pour 15 à 30 kg, dose 0,15 mg/0,3 mL ; au-dessus de 30 kg, dose 0,30 mg/0,3 mL. Ce repère s’applique pour EPIPEN, JEXT, ANAPEN et EMERADE."
Étouffement : obstruction partielle,"étouffement, obstruction partielle, toux, respiration, SAMU","Signes : l’enfant peut parler ou crier, tousse vigoureusement, respire avec difficulté. Installer l’enfant dans la position où il se sent le mieux, l’encourager à tousser, alerter ou faire alerter le SAMU 15 et suivre les conseils du médecin, surveiller attentivement. Ne jamais pratiquer les techniques de désobstruction prévues pour l’obstruction totale, ne pas suspendre l’enfant par les pieds, ne pas introduire les doigts dans sa bouche."
Étouffement : obstruction totale,"étouffement, obstruction totale, désobstruction, claques dans le dos, Heimlich, SAMU","Signes : l’enfant ne peut plus parler, crier, émettre un son ni tousser, s’agite, garde la bouche ouverte, porte ses mains à la gorge, devient rapidement bleu, ne respire plus. Donner jusqu’à 5 claques dans le dos entre les deux omoplates. Si la respiration n’est pas rétablie, réaliser jusqu’à 5 compressions abdominales. Si nécessaire, reprendre en alternance claques dans le dos et compressions abdominales. Interrompre dès la reprise de la respiration ou de la toux. Alerter le SAMU 15. Si l’enfant perd connaissance, pratiquer un massage cardiaque."
Claques dans le dos : technique,"désobstruction, claques dans le dos, obstruction, voies aériennes","Se placer sur le côté et légèrement en arrière de l’enfant. Soutenir son thorax avec une main. Pencher l’enfant en avant. Donner au maximum 5 claques vigoureuses entre les omoplates avec le talon de la main ouverte. Interrompre dès la reprise de la respiration, d’une toux, de cris ou de pleurs."
Compressions abdominales : technique de Heimlich,"Heimlich, compressions abdominales, désobstruction, obstruction","Se placer debout ou à genoux derrière l’enfant, contre son dos. Passer les bras sous ceux de l’enfant. Pencher l’enfant en avant. Mettre le poing d’une main au creux de l’estomac, au-dessus du nombril et en dessous du sternum. Placer l’autre main sur la première, sans appuyer sur les côtes. Tirer franchement vers l’arrière et vers le haut. Effectuer au maximum 5 compressions en relâchant entre chacune. Si ce n’est pas efficace, alterner avec les claques dans le dos. Interrompre dès la reprise de la respiration, d’une toux, de cris ou de pleurs."
Perte de connaissance avec respiration : conduite,"perte de connaissance, respiration, PLS, SAMU","Signes : l’enfant ne parle pas, ne bouge pas, ne réagit pas, mais le ventre et la poitrine se soulèvent, un flux d’air est perçu et on entend l’enfant respirer. Mettre l’enfant en position latérale de sécurité, alerter le SAMU 15 et suivre les conseils du médecin, surveiller la respiration. Si l’enfant ne respire plus, appliquer la conduite à tenir de l’arrêt cardiaque."
PLS : étapes essentielles,"PLS, position latérale de sécurité, inconscience, respiration",Retirer les lunettes et resserrer les jambes si nécessaire. Se placer à genoux au niveau du thorax. Mettre le bras du côté de l’intervenant à angle droit. Amener l’autre main contre l’oreille de l’enfant côté intervenant et la maintenir paume contre paume. Attraper la jambe opposée derrière le genou et la relever. Tirer sur la jambe pour faire pivoter l’enfant jusqu’à ce que le genou touche le sol. Retirer doucement la main sous la tête en maintenant le coude. Mettre la jambe du dessus hanche et genou à angle droit. Ouvrir la bouche sans bouger la tête.
Hémorragie : reconnaître et premiers gestes,"hémorragie, saignement abondant, compression, SAMU","Une hémorragie se reconnaît par une perte de sang qui ne s’arrête pas spontanément et imbibe un mouchoir de tissu ou de papier en quelques secondes. Constater l’hémorragie si besoin en écartant les vêtements. Réaliser immédiatement une compression locale avec la main pour stopper le saignement, avant toute autre action. Allonger l’enfant. Alerter le SAMU 15 sans relâcher la compression. Maintenir la compression jusqu’à l’arrivée des secours. Ne pas donner à boire. Surveiller l’apparition de signes d’aggravation : sueurs abondantes, sensation de froid, pâleur intense, soif, perte de connaissance."
Hémorragie : compression directe et pansement compressif,"hémorragie, compression directe, pansement compressif, sang","Compression directe : appuyer fortement sur l’endroit qui saigne avec les doigts ou la paume, en interposant un tissu propre recouvrant complètement la plaie. En l’absence de tissu, appuyer directement avec la main nue. Si possible sans retarder la compression, porter des gants ou utiliser un sac plastique. Compression indirecte : si l’intervenant doit réaliser d’autres gestes, remplacer la compression directe par un pansement compressif avec tissu propre et bande élastique ou lien large. Si le pansement n’est pas efficace, reprendre la compression manuelle. En cas de contact avec le sang : ne pas porter les mains au visage, se laver les mains et les zones souillées, ne pas manger avant lavage, signaler au SAMU toute projection de sang au visage ou contact avec une plaie."
Fièvre : surveillance simple,"fièvre, surveillance, parents, hydratation","Fièvre sans signe de gravité : température corporelle supérieure à 38 °C. Découvrir l’enfant, le rafraîchir avec un linge humide, le faire boire, surveiller l’enfant et prévenir les parents."
Fièvre : signes de gravité,"fièvre, signes de gravité, SAMU, convulsions","Fièvre nécessitant une prise en charge médicale : température supérieure à 38 °C avec au moins un signe parmi maux de tête avec gêne à la lumière, altération de l’état général, taches rouges sur le corps, diarrhée ou vomissements importants, hallucinations, antécédents médicaux notoires. Installer l’enfant au repos dans la position où il se sent le mieux, alerter le SAMU 15 et suivre les consignes. En cas de crise convulsive, appliquer la conduite prévue pour les convulsions."
Malaise : surveillance et questions à poser,"malaise, surveillance, questionnement, PAI, parents","Signes à surveiller : tête qui tourne, mal au ventre, nausées, vomissements, mal de tête, agitation, tremblements, gêne respiratoire légère, pâleur, sueurs, rougeur excessive. Mettre l’enfant au repos dans la position où il se sent le mieux, le rassurer, desserrer ses vêtements en cas de gêne. Le questionner calmement : a-t-il mal, chaud, froid, un traitement, est-ce déjà arrivé, quand a-t-il mangé pour la dernière fois ? Informer les parents et les interroger sur son état de santé. Rester avec lui, surveiller son état. S’il a un PAI, appliquer le protocole adapté."
Malaise : signes de gravité,"malaise grave, douleur thoracique, AVC, détresse respiratoire, SAMU","Signes de gravité : douleur dans la poitrine, impossibilité de bouger un membre, déformation de la bouche, trouble du langage, mal de tête intense et inhabituel, perte d’équilibre, difficulté importante à respirer, sensation d’étouffement, douleur abdominale intense, sensation de froid avec sueurs abondantes ou pâleur intense. Rester avec la personne, surveiller conscience et respiration, rassurer. Alerter le SAMU 15, transmettre les informations recueillies et appliquer les consignes du médecin. Surveiller en continu."
Crise convulsive : conduite à tenir,"crise convulsive, convulsions, PLS, SAMU, massage cardiaque","Signes : secousses musculaires involontaires, raideur généralisée, contraction de la mâchoire. Ne pas chercher à maîtriser l’enfant. Écarter les objets pour sécuriser le périmètre et protéger la tête avec un coussin ou un vêtement. Ne pas essayer de placer un objet entre ses dents. Si l’enfant a un PAI, appliquer le protocole adapté. Après la phase de mouvements désordonnés vient une phase de relâchement musculaire complet : mettre alors l’enfant en PLS. Alerter le SAMU 15 et suivre les consignes. Surveiller jusqu’à la fin de la crise. Signes de gravité : perte de connaissance longue, répétition des crises, arrêt de la respiration ; recontacter le SAMU. Si l’enfant ne respire pas, pratiquer un massage cardiaque."
Saignement de nez : conduite simple,"épistaxis, saignement de nez, compression, parents","Asseoir l’enfant tête penchée en avant, ne jamais l’allonger. Lui demander de se moucher vigoureusement. Comprimer ou lui faire comprimer les deux narines pendant 10 minutes sans relâcher. Surveiller l’enfant et prévenir les parents."
